Dados do Plano de Aplicação SENASP,,,,,,,,,,Dados do Projeto,,,,,Dados da Execução,,,,,,,,Monitoramento,,,5/2/2026
Ano,Programa,Nº TA,Objeto,Descrição do Objeto,Quantidade do plano,Unidade de Medida,Valor (R$),Aplicação,Municípios beneficiados,SGP-e Projeto,Objeto do Projeto,Ano Entrega,Quantidade do projeto,Valor do projeto,SGP-e Execução,Link SGPe execução,Objeto Executado,Modalidade de Contratação,Quantidade executada,Valor Executado,Ano da Execução,Sgpe Status Report,Cronograma,Último Report (data),Status Report,
2025,EVM,TA 71/2025,Viatura Policial,Veículo leve para emprego operacional geral (tração 4x2) para o fortalecimento operacional do Programa Rede Catarina,5,Viatura PM,"R$ 670.000,00",Investimento,"Sombrio, Maravilha, Dionísio Cerqueira, Criciúma e Porto União",SSP 9346/2026,Viatura Policial,2026,6,"R$ 784.673,40",SSP 9346/2026,https://sgpe.sea.sc.gov.br//sgpe/openPage?openAddress=eyJhZGRyZXNzIjoiL2NwYXYvdmlzdWFsaXphclByb2Nlc3NvLmRvP3Byb2Nlc3NvUEs9OTM2OSw2OTY4LDIwMjYiLCJjdXJyZW50TW9kdWxlIjp7ImNkTW9kdWxvIjoiU0dQRSIsImNkU2lzdGVtYSI6IjEiLCJubU1vZHVsbyI6IiJ9fQ%3D%3D,A executar,Adesão em Ata,0,"R$ 0,00",0,,M4 – Plano de Projeto aprovado,30/04/2026,"Elaboração dos documentos de pré-certame visando a adesão em ata; autorização para adesão emitida pelo órgão gerenciador; Plano de Trabalho FESP, DOD e Formulário de Riscos já confeccionado.",
2025,EVM,TA 71/2025,Projetor Multimídia,"Aquisição de projetores multimídia para palestras, aulas e capacitações da Rede Catarina",33,Unidade,"R$ 101.411,08",Investimento,Abrangência estadual (equipes da Rede Catarina),,,,,,,,,,,,,,Projeto não iniciado,,,
2020,MQV,TA 47/2020,Capacitação,Curso de capacitação em perícia médica para médicos militares,17,PM Capacitado,"R$ 227.500,61",Custeio,Todo o Estado de Santa Catarina,PMSC 20441/2023,Fornecimento de Especialização Médica para 13 Oficiais Médicos (aditivo de 1 vaga está contraditório),2024,,"R$ 143.000,00",56061/2024,https://sgpe.sea.sc.gov.br//sgpe/openPage?openAddress=eyJhZGRyZXNzIjoiL2NwYXYvdmlzdWFsaXphclByb2Nlc3NvLmRvP3Byb2Nlc3NvUEs9NTYxODYsNjE0MSwyMDI0IiwiY3VycmVudE1vZHVsZSI6eyJjZE1vZHVsbyI6IlNHUEUiLCJjZFNpc3RlbWEiOiIxIiwibm1Nb2R1bG8iOiIifX0%3D,Fornecimento de 13 vagas para o Curso de Especialização em Perícia Médica,Nova Licitação,,,,,M15 – Termo de Recebimento realizado,05/03/2026,"Projeto está sem pagamento; a contratação da vaga extra deve ser paga por indenização, ou seja, processo a parte. O principal pode ser pago, porém sofreu reajuste do iPCA aumentando o custo do projeto",
2020,MQV,TA 47/2020,APH Tático,Aquisição de APH Tático para emprego operacional,295,Conjunto,"R$ 442.895,24",Custeio,Todo o Estado de Santa Catarina,,,,,,,,,,,,,,Projeto cancelado,,,
2020,MQV,TA 47/2020,Kit de Treinamento Funcional,Aquisição de Kits para para a realização de treinamento físico,41,Conjunto,"R$ 369.363,96",Custeio,Todo o Estado de Santa Catarina,PMSC 25078/2023,"43 oxímetros, 43 desfibriladores; 43 medidores de pressão",2023,,"R$ 466.844,55",PMSC 25078/2023,"https://sgpe.sea.sc.gov.br/cpav/visualizarProcesso.do?processoPK=25529,6141,2023",43 oxímetros e 43 desfibriladores,Nova Licitação,,"R$ 436.586,70",2024,,M19 – Termo de Encerramento juntado,19/03/2026,Projeto encerrado sem relatório de conclusão de projeto,
2020,MQV,TA 47/2020,Viatura Policial,"Veículos para equipes médicas, odontológicas, psicológicas e sociais",7,Viatura PM,"R$ 750.000,00",Investimento,Todo o Estado de Santa Catarina,SSP 00001785/2024,11 Veículos,2024,,"R$ 1.234.755,50",SSP 00001785/2024,"https://sgpe.sea.sc.gov.br/cpav/visualizarProcesso.do?processoPK=25529,6141,2023",11 veículos,Nova Licitação,,"R$ 1.234.755,50",2026,,M19 – Termo de Encerramento juntado,19/03/2026,Projeto encerrado sem relatório de conclusão de projeto,
2021,MQV,TA 47/2021,Equipamentos para Academia de Musculação,Aquisição de Conjuntos de equipamentos de Academia de Musculação,17,Conjunto,"R$ 1.799.802,36",Investimento,Todo o Estado de Santa Catarina,PMSC 8082/2024,Equipamentos para Academia de Musculação,2024,,"R$ 2.394.295,00",PMSC 8082/2024,https://sgpe.sea.sc.gov.br/sgpe/openPage?openAddress=eyJhZGRyZXNzIjoiL2NwYXYvdmlzdWFsaXphclByb2Nlc3NvLmRvP3Byb2Nlc3NvUEs9ODEwNSw2MTQxLDIwMjQiLCJjdXJyZW50TW9kdWxlIjp7ImNkTW9kdWxvIjoiU0dQRSIsImNkU2lzdGVtYSI6IjEiLCJubU1vZHVsbyI6IiJ9fQ%3D%3D,Equipamentos de Academia de Musculação,Adesão em Ata,,"R$ 2.322.109,70",2024,,M18 – Termo de Encerramento juntado,19/03/2026,Projeto encerrado sem relatório de conclusão de projeto,
2021,MQV,TA 47/2021,Serviços de psicoterapia,Contratação de serviço de atendimento de psicoterapia para policiais militares,3925,Atendimento,"R$ 700.000,00",Custeio,Todo o Estado de Santa Catarina,,,,,,,,,,,,,,M14 – Entrega ou serviço realizado,22/04/2026,Projeto em execução,
2021,MQV,TA 47/2021,Exames laboratoriais e cardiológicos,Exames laboratoriais e cardiológicos,5679,Conjunto,"R$ 1.099.802,33",Custeio,Todo o Estado de Santa Catarina,,,,,,,,,,,,,,M17 – Pagamento realizado,22/04/2026,Projeto está em análise do Relatório de Conclusão do Projeto,
2022,MQV,TA 47/2022,Curso de educação financeira,Curso de educação financeira,1600,PM Capacitado,"R$ 2.279.472,01",Custeio,Todo o Estado de Santa Catarina,,,,,,,,,,,,,,Projeto cancelado,,,
